"","ï..544988"
"1",15564
"2",16004
"3",239466
"4",57121
"5",1302
"6",126985
"7",9564
"8",9534
"9",7942
"10",8074
"11",15660
"12",23829
"13",16501
"14",1217
"15",13340
"16",20236
"17",7456
"18",8865
"19",11309
"20",7658
"21",8792
"22",7889
"23",24667
"24",8634
"25",5018
"26",7731
"27",9585
"28",9183
"29",8273
"30",8245
"31",9961
"32",4818
"33",9910
"34",9465
"35",7965
"36",29587
"37",817512
"38",16924
"39",8805
"40",6304
"41",8154
"42",9877
"43",22342
"44",13963
"45",11185
"46",14694
"47",14103
"48",9618
"49",8428
"50",7894
"51",76765
"52",61884
"53",17100
"54",9139
"55",14845
"56",9844
"57",13600
"58",8494
"59",15784
"60",3377
"61",8365
"62",8170
"63",8341
"64",16152
"65",11761
"66",11516
"67",8901
"68",7485
"69",8589
"70",25539
"71",6781
"72",8397
"73",8472
"74",7660
"75",8131
"76",12312
"77",36320
"78",12487
"79",35319
"80",77722
"81",8239
"82",7841
"83",3734
"84",152341
"85",4113
"86",100488
"87",2779
"88",12546
"89",12195
"90",13945
"91",12089
"92",12087
"93",12261
"94",8151
"95",1427
"96",6606
"97",7795
"98",4566
"99",7842
"100",8029
"101",7850
"102",7734
"103",7916
"104",7838
"105",7818
"106",23869
"107",7534
"108",7766
"109",7999
"110",8019
"111",226293
"112",1638
"113",3131
"114",7683
"115",7578
"116",7695
"117",8126
"118",7971
"119",7712
"120",7612
"121",8029
"122",7983
"123",7775
"124",8075
"125",7834
"126",7663
"127",7720
"128",7745
"129",7838
"130",3993
"131",3907
"132",7813
"133",7841
"134",3797
"135",4100
"136",3792
"137",4067
"138",7795
"139",7761
"140",7578
"141",7788
"142",91994
"143",7841
"144",7567
"145",3694
"146",4068
"147",7792
"148",116016
"149",7939
"150",8055
"151",7937
"152",7730
"153",7544
"154",7791
"155",3968
"156",3730
"157",252124
"158",6327
"159",7707
"160",8057
"161",7814
"162",3935
"163",3816
"164",18215
"165",19070
"166",7884
"167",9359625
"168",4476547
"169",10364
"170",11184
"171",1493175
"172",5433466
"173",22071
"174",1126589
"175",27505330
"176",215380
"177",719994
"178",565965
"179",8636835
"180",1010964
"181",1088
"182",19372681
"183",725
"184",6885802
"185",6668
"186",1962162
"187",4576515
"188",4471316
"189",2022598
"190",2239822
"191",6428743
"192",1995276
"193",5956634
"194",7808593
"195",15551992
"196",5260026
"197",5176733
"198",5281883
"199",5646546
"200",5070633
"201",2417
"202",2557813
"203",2587381
"204",5040734
"205",5250715
"206",2433
"207",9219970
"208",274
"209",7713252
"210",7873552
"211",2787362
"212",8112288
"213",8022378
"214",2601716
"215",592
"216",2650033
"217",7702469
"218",5170231
"219",7789403
"220",5227078
"221",2687044
"222",8161673
"223",7949267
"224",12104970
"225",2639051
"226",3979845
"227",10542738
"228",10661337
"229",5495294
"230",3991450
"231",1335657
"232",6193056
"233",10143902
"234",80479
"235",15479
"236",7895137
"237",13329858
"238",3980445
"239",1762
"240",8536530
"241",3725344
"242",373036
"243",17833
"244",385813
"245",2412645
"246",15384
"247",13971131
"248",4147499
"249",16786
"250",228708
"251",26763
"252",183359
"253",3027518
"254",41815
"255",43347
"256",91018
"257",305920
"258",14980985
"259",2690291
"260",2649374
"261",2698331
"262",5142333
"263",1086702
"264",6490135
"265",8009
"266",32384
"267",7314360
"268",159817
"269",1718988
"270",161576
"271",1295
"272",4527516
"273",11769
"274",2622379
"275",2579076
"276",4092953
"277",1215
"278",2068
"279",2789298
"280",35283
"281",34076
"282",9541
"283",118105
"284",1692186
"285",750
"286",139207
"287",880806
"288",4955751
"289",27233
"290",3047
"291",32603
"292",111871
"293",41013
"294",61637
"295",16904841
"296",2261371
"297",111408
"298",331506
"299",622
"300",4271103
"301",16140
"302",10102597
"303",183781
"304",4680492
"305",23820
"306",30445
"307",491067
"308",427399
"309",55649
"310",185538
"311",93923
"312",18583
"313",12059
"314",98201
"315",2824
"316",20066
"317",11744
"318",17473917
"319",509235
"320",2233279
"321",896966
"322",20973254
"323",5208
"324",1205
"325",3055
