Algorithm,data set,data size,deg sorted,memory used,run time
InsertionSort,reverse,20000,0,3.492564E7,24.6
InsertionSort,reverse,40000,0,3.492564E7,96.2
InsertionSort,reverse,60000,0,3.492564E7,471.0
InsertionSort,reverse,80000,0,3.492564E7,829.8
InsertionSort,reverse,100000,0,3.492564E7,1317.2

InsertionSort,reverse,100000,20,4.342148E7,476.2
InsertionSort,reverse,100000,40,4.342148E7,50.8
InsertionSort,reverse,100000,60,4.342148E7,0.2
InsertionSort,reverse,100000,80,4.342148E7,0.0
InsertionSort,reverse,100000,100,4.342148E7,0.0


SelectionSort,reverse,20000,0,6.491464E7,191.8
SelectionSort,reverse,40000,0,6.491464E7,766.4
SelectionSort,reverse,60000,0,6.491464E7,1720.8
SelectionSort,reverse,80000,0,6.491464E7,3039.6
SelectionSort,reverse,100000,0,6.491464E7,4756.6

SelectionSort,reverse,100000,20,6.638276E7,5042.4
SelectionSort,reverse,100000,40,6.638276E7,5054.4
SelectionSort,reverse,100000,60,6.638276E7,5071.4
SelectionSort,reverse,100000,80,6.638276E7,5045.2
SelectionSort,reverse,100000,100,6.638276E7,5124.2


BubbleSort,reverse,20000,0,4.893512E7,92.8
BubbleSort,reverse,40000,0,4.893512E7,369.4
BubbleSort,reverse,60000,0,4.893512E7,601.4
BubbleSort,reverse,80000,0,4.893512E7,1049.4
BubbleSort,reverse,100000,0,4.893512E7,1627.2

BubbleSort,reverse,100000,20,5.155656E7,771.0
BubbleSort,reverse,100000,40,5.155656E7,184.4
BubbleSort,reverse,100000,60,5.155656E7,0.0
BubbleSort,reverse,100000,80,5.155656E7,0.2
BubbleSort,reverse,100000,100,5.155656E7,0.0


MergeSort,reverse,20000,0,4.93935071391376E13,4.6
MergeSort,reverse,40000,0,4.93935071391376E13,9.4
MergeSort,reverse,60000,0,4.93935071391376E13,13.6
MergeSort,reverse,80000,0,4.93935071391376E13,18.6
MergeSort,reverse,100000,0,4.93935071391376E13,22.0

MergeSort,reverse,100000,20,8.83577799222432E13,22.2
MergeSort,reverse,100000,40,8.83577799222432E13,22.0
MergeSort,reverse,100000,60,8.83577799222432E13,20.2
MergeSort,reverse,100000,80,8.83577799222432E13,20.8
MergeSort,reverse,100000,100,8.83577799222432E13,21.8


QuickSort,reverse,20000,0,3.4957307942496E12,2.2
QuickSort,reverse,40000,0,3.4957307942496E12,3.8
QuickSort,reverse,60000,0,3.4957307942496E12,4.8
QuickSort,reverse,80000,0,3.4957307942496E12,8.0
QuickSort,reverse,100000,0,3.4957307942496E12,8.8

QuickSort,reverse,100000,20,5.5862505852E12,6.2
QuickSort,reverse,100000,40,5.5862505852E12,6.0
QuickSort,reverse,100000,60,5.5862505852E12,6.2
QuickSort,reverse,100000,80,5.5862505852E12,6.4
QuickSort,reverse,100000,100,5.5862505852E12,6.0

InsertionSort,2x^2 - x,20000,0,4.668108E7,15.6
InsertionSort,2x^2 - x,40000,0,4.668108E7,57.0
InsertionSort,2x^2 - x,60000,0,4.668108E7,124.6
InsertionSort,2x^2 - x,80000,0,4.668108E7,217.2
InsertionSort,2x^2 - x,100000,0,4.668108E7,337.4

InsertionSort,2x^2 - x,100000,20,4.668108E7,293.0
InsertionSort,2x^2 - x,100000,40,4.668108E7,119.6
InsertionSort,2x^2 - x,100000,60,4.668108E7,0.0
InsertionSort,2x^2 - x,100000,80,4.668108E7,0.0
InsertionSort,2x^2 - x,100000,100,4.668108E7,0.2


SelectionSort,2x^2 - x,20000,0,6.965452E7,204.4
SelectionSort,2x^2 - x,40000,0,6.965452E7,814.2
SelectionSort,2x^2 - x,60000,0,6.965452E7,1845.2
SelectionSort,2x^2 - x,80000,0,6.965452E7,3271.0
SelectionSort,2x^2 - x,100000,0,6.965452E7,5114.2

